"Hood_ID","population.2016","lone.parent.families.perc","avg.income","low.income.pop.perc","non.citizens.perc","immigrants.recent.perc","refugees.perc","vis.minorities.perc","renters.perc","houses.perc","less.than.high.school.perc","high.school.cert.perc","post.sec.or.above.perc","unemployment.rate","youth.perc"
133,13362,14.677,54045,6.2,3.936,1.574,3.405,43.553,6.385,95.434,11.573,25.201,63.226,7.6,13.845
75,31340,12.701,53583,26,18.426,6.5,3.318,41.049,70.416,49.505,4.193,18.938,76.835,8.5,16.082
120,26984,21.973,36232,19.5,12.488,6.92,6.041,61.266,34.378,88.745,19.384,28.351,52.242,8.7,12.878
33,16472,18.621,51181,14.9,15.804,8.191,2.55,38.398,45.884,75.744,12.706,23.764,63.493,6.1,11.656
123,15935,20.068,44718,17.9,7.724,3.797,4.55,41.569,33.108,97.462,16.34,29.623,54.038,9.7,13.398
92,14133,20.677,41717,13.4,13.466,3.97,3.219,25.142,37.33,95.822,27.787,23.566,48.566,7.2,10.826
66,9666,16.016,55225,14.2,7.035,2.45,1.5,25.847,35.623,98.473,18.113,21.006,60.881,6.2,9.466
59,17180,17.32,51846,13.6,6.325,2.4,2.561,29.801,29.324,97.721,17.787,21.665,60.548,6.9,8.382
47,27051,19.266,37379,23.5,24.422,14.115,8.465,70.923,48.896,71.5,11.001,22.925,66.03,9.6,12.051
126,25003,24.071,31692,22.3,14.971,8.041,8.839,77.687,38.746,60.421,19.747,29.732,50.546,9.7,12.638
93,36625,19.863,39740,17.1,11.88,3.674,4.355,33.899,50.098,88.027,22.371,23.095,54.55,7.2,10.758
26,35052,28.638,34168,19.4,18.017,8.986,8.644,57.326,52.229,89.528,29.347,28.579,42.04,7.9,12.41
83,11785,16.865,40588,18,13.066,4.099,3.988,30.999,59.467,89.062,20.614,20.374,58.965,7.5,9.037
62,21381,21.385,54324,18.8,9.519,4.783,2.993,30.819,45.643,95.588,13.241,22.637,64.094,8.2,10.36
9,15535,19.064,101551,10.5,7.933,3.388,5.761,21.264,43.885,83.44,13.193,24.283,62.524,6.1,11.651
138,22776,31.613,30033,26,16.944,10.404,11.086,78.037,55.057,70.038,21.703,31.214,47.056,10.8,13.677
5,9456,34.369,32012,23.2,11.382,5.611,11.633,67.39,45.581,74.068,24.476,34.293,41.296,10,15.176
32,22372,27.212,48134,21.3,15.996,9.365,4.403,40.471,58.156,78.519,15.662,25.41,59.016,8.9,13.566
11,18588,19.45,47002,9.7,5.427,1.889,5.756,27.692,15.368,76.166,15.324,26.589,58.15,7.4,12.965
13,11848,25.505,38255,18.3,13.731,7.105,8.947,39.424,47.437,61.245,17.707,27.789,54.504,7.9,12.323
44,21933,23.776,28654,34.7,21.538,12.751,14.111,78.576,55.364,47.543,21.814,27.659,50.642,10.6,13.974
102,12806,17.451,85099,15.5,15.91,8.994,3.943,28.177,65.932,91.651,8.294,20.641,71.112,7.4,11.791
101,10732,10.893,204521,10.7,9.391,4.385,1.258,16.745,46.869,81.68,7.427,17.277,75.242,5.6,12.672
25,30491,40.509,27984,25.7,14.567,6.206,12.233,76.647,48.537,88.048,39.14,29.437,31.341,11.5,14.824
65,14417,21.548,46206,19.7,6.606,2.33,3.433,39.117,40.545,97.934,16.436,22.725,60.839,7.2,9.052
140,9917,18.596,53203,7.7,5.181,1.503,2.168,29.741,22.682,78.195,12.911,26.599,60.49,7.9,10.79
53,15723,18.607,36359,29.6,36.167,18.676,8.968,76.551,63.1,49.175,9.16,20.931,69.871,10.3,14.819
88,22162,15.459,57465,16.5,12.153,5.685,4.851,23.768,66.198,86.395,8.092,17.132,74.908,7.1,8.528
87,23925,15.366,71204,11.1,6.381,2.163,3.156,19.118,43.632,67.724,7.949,17.083,74.918,6,8.945
134,12494,14.672,40972,10.5,8.424,2.606,7.524,74.529,11.096,98.785,14.867,29.277,55.855,8.5,15.367
48,16934,18.87,40442,21.9,17.317,6.649,4.222,75.584,23.552,66.901,12.597,22.965,64.471,8.3,12.755
8,10948,24.486,45615,14.6,8.408,3.411,6.805,27.138,39.178,77.751,17.956,26.617,55.485,7.4,10.367
21,12416,23.665,30731,19.7,15.068,7.01,11.034,65.619,29.91,90.513,34.081,29.157,36.763,9.6,13.893
22,15545,30.877,29528,22.7,19.086,10.01,13.541,77.052,47.525,87.24,28.884,30.393,40.644,10.2,14.249
106,14365,17.06,65274,15.7,12.439,5.45,2.262,28.787,64.536,98.248,9.321,18.434,72.245,7.1,11.208
125,13641,28.836,31383,23.3,20.096,11.095,8.907,73.108,60.794,92.926,21.106,28.85,50.044,8.8,11.949
14,43965,19.103,52787,15.8,12.318,6.594,6.608,37.097,41.94,56.788,11.87,22.497,65.593,7.3,10.781
90,14366,18.494,49709,13.5,6.856,2.451,4.873,29.535,40.796,83.9,14.125,20.917,64.917,5.6,10.058
110,11058,23.443,33316,18.3,18.985,6.338,5.426,42.553,38.517,90.562,38.621,28.382,33.05,8.6,13.067
124,17123,28.493,30974,26.3,12.836,6.842,9.227,69.503,45.323,81.991,20.873,30.785,48.342,9.1,12.644
78,17945,25.702,37422,33.2,17.239,4.811,6.854,60.269,70.979,69.09,17.642,26.029,56.298,8.2,18.696
6,22000,29.882,36674,24.9,15.378,8.326,13.545,59.736,47.977,66.71,23.513,31.04,45.531,9.9,13.705
15,9271,10.093,144642,4.5,3.275,1.037,1.294,12.002,18.41,80.474,7.19,17.018,75.66,7.5,11.757
114,7985,23.043,76629,18.5,6.888,3.07,4.571,24.421,40.96,98.878,13.604,19.332,66.985,7.6,11.271
117,43993,23.052,31826,23.5,19.595,9.116,9.967,77.103,34.596,67.943,21.543,28.229,50.187,10.9,13.025
38,16164,15.657,72371,17.6,19.197,9.15,2.877,43.137,41.61,61.002,7.692,20.073,72.161,7.2,13.054
105,14607,12.192,111730,6.7,4.773,2.37,0.856,21.36,24.284,97.048,7.716,15.477,76.807,6.4,11.33
103,15179,11.418,169203,7.3,6.98,3.144,1.153,16.942,30.461,89.304,7.702,14.792,77.506,7.5,13.835
56,16828,13.268,125564,6.9,5.017,2.133,1.099,17.644,27.972,92.857,8.418,17.583,73.924,6.9,12.895
84,15559,17.44,45737,15.6,10.993,3.321,3.214,28.329,55.825,64.242,17.466,20.322,62.175,6.4,10.283
19,10084,22.078,47384,17.6,8.544,3.728,5.553,22.89,53.423,84.304,15.12,26.804,57.961,7.1,11.156
132,43794,26.373,29573,20.4,13.798,6.272,9.522,89.558,29.922,67.188,20.468,32.256,47.262,10.5,15.071
29,10111,22.898,37108,15.2,17.334,9.635,4.253,43.588,43.882,96.348,28.614,28.435,42.891,8.1,12.462
12,10554,16.013,62378,8.3,5.694,2.823,4.927,13.343,25.668,64.925,11.745,24.753,63.557,6.2,11.086
130,26572,20.806,28085,22.1,20.031,8.404,10.048,96.566,11.191,70.917,28.233,31.785,39.937,9.5,11.949
17,33964,18.197,54438,18.2,12.2,5.686,6.006,31.207,48.539,47.413,11.964,21.481,66.538,6.2,8.848
135,17455,25.668,32291,23.8,12.77,7.087,8.679,75.015,39.847,79.234,17.268,30.438,52.399,11.4,15.325
73,20506,18.807,58915,31.9,11.999,5.121,7.754,42.579,66.032,54.435,9.865,20.053,70.112,6.9,9.973
115,13593,37.017,30827,25.3,14.216,6.822,10.263,67.911,52.896,75.556,25.863,31.155,42.936,10.8,13.352
2,32954,29.391,26548,27.9,23.454,14.377,19.755,86.674,55.241,71.154,30.684,30.257,39.118,12.1,15.901
99,16775,13.682,85340,10.3,8.597,3.789,1.937,22.822,43.443,93.88,7.366,16.546,76.016,6.9,10.134
104,29658,16.753,57039,20.8,17.891,8.918,3.557,33.645,74.664,71.371,5.649,16.852,77.481,6.7,8.48
18,11463,26.99,44101,24.8,10.545,4.429,7.502,32.019,56.558,89.488,16.632,25.878,57.49,8.7,12.126
50,16097,16.432,45212,27.4,24.911,11.941,4.659,72.215,35.27,61.457,10.645,21.541,67.814,8.8,13.636
36,23831,20.69,34904,26.3,26.703,15.492,5.728,58.531,47.433,75.781,11.762,26.476,61.762,8.4,13.952
82,31180,12.439,70623,13.7,10.863,4.616,3.335,35.036,50.04,16.356,4.509,13.403,82.089,4.5,7.793
68,11916,15.605,73253,10.9,5.57,1.627,1.804,24.101,44.012,97.902,10.683,19.004,70.313,5.3,9.819
74,18615,23.737,32648,36.5,25.225,13.756,9.777,66.848,90.063,86.349,12.691,23.67,63.639,10.4,12.168
121,13845,25.185,26793,42.6,19.287,12.941,11.304,75.312,68.023,92.337,21.106,28.08,50.86,14.6,12.134
107,21210,25.132,39803,18.6,16.051,6.943,4.856,43.154,47.008,98.964,24.951,23.409,51.612,6.8,10.679
54,18675,24.675,43907,22.5,12.571,6.73,6.185,37.703,53.65,95.78,18.87,27.541,53.589,10.1,12.691
58,9233,18.835,53315,13.5,6.352,3.471,3.466,26.819,34.828,99.472,17.324,24.952,57.789,5,9.964
80,13826,15.18,58071,13.8,9.487,2.362,2.134,21.439,58.689,95.343,14.371,19.295,66.293,6.8,10.632
45,34805,26.474,42516,20.6,13.852,8.033,8.418,54.924,60.255,88.589,14.33,26.514,59.138,9.2,13.461
23,10722,21.895,39003,11.4,8.217,3.408,7.694,43.61,17.385,85.33,24.624,29.359,46.017,6,12.731
67,7804,13.953,70831,13.6,7.26,3.076,1.41,20.419,53.631,98.741,9.784,18.336,71.803,6.4,9.29
46,15818,18.51,36346,17.5,20.595,8.352,4.678,64.252,24.275,79.329,17.115,25.4,57.485,10,13.118
10,11051,12.254,99055,7.2,6.024,2.443,2.896,19.058,15.415,99.87,10.302,21.629,68.123,6,14.343
72,10803,29.209,34597,42.3,12.319,5.246,12.404,69.977,74.672,58.77,20.674,25.815,53.455,9.6,16.431
4,10529,27.036,34418,18.6,11.395,6.033,8.785,51.786,43.88,97.139,22.464,30.659,46.819,10.9,12.917
111,22246,28.821,34059,22.8,12.166,4.675,8.204,45.986,43.315,86.637,30.398,29.197,40.459,9.2,12.362
86,14974,16.712,50580,19.9,9.112,3.429,5.376,25.521,56.345,91.649,14.326,21.687,64.146,6.7,8.648
98,20923,10.96,207903,10.2,9.314,3.639,1.147,18.147,44.605,69.652,5.806,15.944,78.278,6,10.467
131,46496,19.199,39556,9.5,7.978,3.462,10.947,81.014,16.468,90.519,17.259,30.793,51.921,8.2,14.41
89,10070,13.495,71888,6.9,5.216,1.688,2.036,15.889,21.363,99.476,11.97,17.269,70.636,5.1,9.484
28,9941,41.971,31800,31.7,11.276,5.228,10.009,59.559,62.14,97.945,32.609,30.946,36.445,9.1,14.033
139,16724,30.425,32913,32.4,15.977,9.887,10.972,73.433,54.599,72.574,22.6,28.948,48.375,13,14.111
85,21849,25.222,35207,30.5,15.077,8.206,12.564,48.027,86.611,86.567,16.411,24.321,59.295,8.6,10.344
70,27876,19.199,53803,18.7,8.523,2.959,4.197,41.505,40.083,80.381,17.495,20.821,61.685,6.5,8.789
40,17812,17.073,100516,15.9,14.791,7.921,3.032,50.58,33.281,81.726,9.574,20.844,69.581,8.3,14.288
116,24623,18.75,31786,21,20.478,7.459,8.224,90.975,16.113,63.357,23.55,29.515,46.959,9.5,10.904
16,25051,16.596,64140,11.6,8.194,4.038,5.449,18.454,35.325,94.22,13.052,21.905,65.043,6.7,9.92
118,27446,21.049,34200,23.8,18.775,9.01,7.323,75.194,43.616,73.658,19.261,27.424,53.228,9.1,11.714
61,15683,21.921,30430,32.9,23.636,16.145,7.652,66.871,67.225,77.352,16.201,24.461,59.377,11.5,10.744
63,21567,15.093,92580,9.4,5.502,1.842,0.835,13.896,37.54,87.811,8.255,19.404,72.34,5.7,9.691
3,10360,24.777,32815,17.8,14.765,7.111,10.956,64.296,37.957,97.256,24.717,27.874,47.409,10.4,13.417
55,21108,17.211,28875,45.5,26.991,18.623,12.412,79.132,88.912,84.081,20.958,26.337,52.706,12.6,11.654
81,16556,17.305,50694,14.7,11.399,2.834,4.137,29.698,47.76,92.63,21.505,22.61,55.851,6.1,9.876
79,7607,15.302,50757,22.4,17.303,4.719,2.103,33.034,62.592,84.978,8.428,19.287,72.285,8.3,19.456
43,17510,27.97,35786,25.9,14.46,9.866,10.879,59.092,58.625,79.068,20.137,25.979,53.883,10.1,11.679
77,65913,11.724,70600,16.5,16.496,7.208,2.928,44.034,58.71,12.342,3.065,13.454,83.465,5.2,11.857
136,27392,32.167,33323,25.2,10.441,5.398,8.305,63.335,40.631,80.06,22.282,28.689,48.962,11.6,14.347
1,33312,22.178,31771,15.8,16.679,7.419,6.754,81.925,31.873,79.242,21.207,30.562,48.213,9.6,16.345
35,26274,23.682,32724,24.4,24.919,16.963,7.802,44.851,60.323,71.82,12.082,24.384,63.512,9.2,12.769
113,17992,36.004,32997,29.6,16.987,8.279,10.922,60.814,63.092,88.084,24.855,28.62,46.559,10.6,12.339
91,11098,25.801,33528,20.4,13.21,3.336,7.794,37.979,41.42,96.686,32.856,27.495,39.597,8.5,12.75
119,27917,23.463,35047,19.2,12.995,7.153,7.63,55.491,39.733,95.052,18.834,31.026,50.182,9,13.039
51,50434,17,45326,30.3,30.054,14.733,2.786,75.047,38.148,26.759,7.016,19.355,73.652,8.5,13.741
37,16936,14.366,44576,27.1,23.635,10.048,2.716,57.768,36.442,48.645,9.455,21.131,69.415,9.8,13.138
7,22156,21.694,44177,15,10.341,5.463,5.8,40.045,46.149,95.065,18.51,28.006,53.457,8.5,11.848
137,53485,23.993,30878,27.2,17.819,9.292,9.199,76.427,47.043,81.303,20.387,30.339,49.228,10.6,14.34
64,12541,19.679,55199,15.8,6.237,2.132,1.555,27.181,41.705,94.225,14.144,20.425,65.48,7.7,8.333
60,7865,19.545,47710,15.2,6.238,1.656,2.988,31.019,31.739,97.681,15.172,26.308,58.595,6.6,8.519
94,14349,21.583,54460,16.7,8.415,2.378,2.3,27.434,51.613,90.585,16.337,20.07,63.505,5.2,9.199
100,11817,13.866,89330,12,11.69,5.083,1.65,26.726,61.376,88.38,5.75,14.3,79.9,6.9,10.366
97,12528,12.342,114174,12.9,11.057,5.452,1.357,20.772,61.467,73.628,4.144,16.396,79.459,5.9,7.344
27,27593,29.643,29958,24.4,21.948,10.339,10.383,69.405,54.72,71.78,21.79,29.677,48.554,10.7,17.269
31,14804,25.573,38527,16.8,13.298,6.094,5.573,45.189,38.296,73.084,28.554,28.056,43.431,8,12.632
