"Hood_ID","assault","auto.theft","break.and.enter","robbery","theft.over","drug.arrests","total.crime","population.2016","total.area","density","lone.parent.families.perc","avg.income","people.ei.per","median.income","low.income.pop.perc","low.income.pop.perc.18.to.64","non.citizens.perc","immigrants.perc","immigrants.recent.perc","refugees.perc","vis.minorities.perc","renters.perc","houses.perc","unsuitable.housing.perc","hhlds.mjr.rprs.perc","unaffordable.housing.perc","less.than.high.school.perc","high.school.cert.perc","post.sec.or.above.perc","unemployment.rate","unemployment.rate.males","youth.perc","male.youth.perc","low.income.perc","middle.income.perc","high.income.perc"
"22",0.00456738501125764,0.00231585718880669,0.00141524605982631,0.00102926986169186,6.43293663557414e-05,0.00122225796075909,0.0106143454486973,15545,4.4,3532.95454545455,30.8771929824561,29528,8.02207130730051,24090.5,22.7,20.3,19.0859349855166,60.7660122304474,10.0096556163502,13.5413316178836,77.0518184744126,47.5247524752475,87.2403560830861,22.8712871287129,8.01980198019802,37.5247524752475,28.8835915772745,30.3933253873659,40.6436233611442,10.2,9.4,14.2489546477967,7.43004181408813,55.6770665808942,18.2695400450306,1.96204567385011
"23",0.00363738108561835,0.00195858981533296,0.00242492072374557,0.00102592799850774,0.000373064726730088,0.0029845178138407,0.0124044021637754,10722,4.2,2552.85714285714,17.0596393897365,65274,5.18423307626392,35639.9318181818,15.7,16.1,12.43851018974,32.7707454289733,5.45007032348805,2.26244343891403,28.7873462214411,64.5357686453577,98.2482863670982,9.96955859969558,9.5963442498096,35.7251908396947,9.32062966031483,18.4341342170671,72.2452361226181,7.1,7.2,12.7308337996642,6.62189889945906,59.2706584592427,29.7519119567245,19.6791643350121
"24",0.0107190504669458,0.00248424345585867,0.00119611721948751,0.00156415328702213,0.000276027050650964,0.00128812623637116,0.0175277177163362,21737,3.4,6393.23529411765,28.8359788359788,31383,6.51760228353949,25519.6791907514,23.3,21.4,20.0955180014695,57.2740631888317,11.094783247612,8.90697162964592,73.1080088170463,60.7938044530494,92.9263565891473,22.5338491295938,9.09970958373669,33.4302325581395,21.1061946902655,28.8495575221239,50.0442477876106,8.8,7.8,15.1124810231403,7.38372360491328,34.2963610433822,12.9502691263744,1.38013525325482
"25",0.00741202321996655,0.00160703158309009,0.000787117510084943,0.00173821783477092,0.000360762192122266,0.00180381096061133,0.0137089633006461,30491,5.2,5863.65384615385,19.1029900332226,52787,6.13318565692925,37548.2647058823,15.8,14.3,12.3178348369188,45.3262378528459,6.59416936603424,6.60752871602411,37.0965876229034,41.9404915912031,56.7882079131109,10.7346094154165,7.11881957028216,33.048433048433,11.8700708461436,22.4969923806978,65.5928351824622,7.3,6.8,14.8240464399331,7.26443868682562,61.936309074809,39.3722737857073,16.8246367780657
"26",0.00818783521625014,0.00225379436266119,0.00148351021339724,0.00111263266004793,0.000256761383087984,0.0015405682985279,0.0148351021339724,35052,14.9,2352.48322147651,18.4940554821664,49709,6.69546436285097,36266.3416289593,13.5,13.7,6.85612788632327,32.3268206039076,2.45115452930728,4.87261589864959,29.5349662761803,40.7960199004975,83.9004149377593,6.71641791044776,5.31120331950207,32.5581395348837,14.125,20.9166666666667,64.9166666666667,5.6,7,12.4101335159192,6.2906538856556,17.6737418692229,10.8267716535433,4.49332420403971
"27",0.0104736708585511,0.00337042003406661,0.00340666110970174,0.00199325915993187,0.00119595549595912,0.00213822346247237,0.0225781901206828,27593,13.2,2090.37878787879,23.4426229508197,33316,8.70786516853933,25986.6624203822,18.3,15.7,18.9850475758949,55.9981892258941,6.337709370756,5.42593597395551,42.5531914893617,38.5167464114833,90.5615292712067,13.2616487455197,6.81003584229391,36.1244019138756,38.6206896551724,28.3819628647215,33.0503978779841,8.6,8.7,17.268872540137,9.1146305222339,22.1795382886964,8.66161707679484,1.41340194976987
"28",0.00814807363444322,0.00110652851825772,0.00241424403983503,0.00110652851825772,0.000100593501659793,0.00100593501659793,0.0138819032290514,9941,2.1,4733.80952380952,28.4934497816594,30974,6.32864544781643,23965.895505618,26.3,23.7,12.8362573099415,55.3508771929825,6.8421052631579,9.22735501956433,69.5029239766082,45.3231939163498,81.9908814589666,14.5247148288973,9.80988593155894,35.4912414318355,20.8726003490401,30.7853403141361,48.3420593368237,9.1,8.1,14.0327934815411,7.24273211950508,96.7709485967207,34.4029775676491,4.67759782718036
"29",0.00395608742953219,0.0020769459005044,0.0019780437147661,0.00108792404312135,0.00019780437147661,0.00019780437147661,0.00949460983087726,10111,2.5,4044.4,25.7016248153619,37422,3.43074968233799,20730.125,33.2,30.6,17.2394043528064,43.6139747995418,4.81099656357388,6.85427695736974,60.2692638212547,70.9788208357184,69.0898683457356,9.21052631578947,9.7254004576659,48.1332567489948,17.6415970287837,26.0290931600124,56.298359640978,8.2,7.9,12.4616754030264,6.52754425872812,109.583621798042,33.082781129463,12.8572841459796
"30",0.00439263389085994,0.00107000056315819,0.00135157965872614,0.0010136847440446,0,0.000844737286703835,0.00867263614349271,17757,3.5,5073.42857142857,10.0934579439252,144642,3.56408498971899,64221.8,4.5,5.3,3.27510917030568,21.3857064920895,1.03655210038189,1.29435875310107,12.0021822149482,18.4100418410042,80.4741980474198,1.53417015341702,4.46304044630404,19.1340782122905,7.18997361477573,17.0184696569921,75.6596306068602,7.5,7.3,13.9381652306133,6.75789829363068,14.529481331306,11.4321112800586,15.1489553415554
"31",0.0104025938935423,0.00249932450689003,0.00439070521480681,0.00148608484193461,0.00155363415293164,0.00162118346392867,0.021953526074034,14804,5.9,2509.15254237288,23.0425055928412,76629,5.48060708263069,40783.0542168675,18.5,16.8,6.88791484032561,30.2005012531328,3.07017543859649,4.57107075767063,24.4207889793363,40.96,98.8782051282051,7.2,9.95184590690209,23.2,13.6038186157518,19.3317422434368,66.9848846459825,7.6,6.2,12.6317211564442,6.65360713320724,19.8932720886247,10.6052418265334,9.72710078357201
"32",0.00397818701948865,0.000759878419452888,0.00192204541391024,0.00129626318612551,0.000134096191668157,0.000178794922224209,0.00826926515286966,22372,3.6,6214.44444444444,23.0520791279774,31826,6.44158779488628,22442.1520737327,23.5,21.8,19.5954487989886,65.1224278652719,9.11599034371767,9.96749482872275,77.1034482758621,34.5962113659023,67.9427430093209,13.5683405387429,7.94812105088128,37.962037962038,21.5431933672105,28.2294731211554,50.1872158331105,10.9,10.1,13.5660647237618,6.83890577507599,114.004112283211,36.0718755587341,7.88932594314321
"33",0.00254978144730452,0.00267119961146187,0.00212481787275376,0.000182127246236037,0.000303545410393395,0.000182127246236037,0.00801359883438562,16472,4.2,3921.90476190476,15.6571428571429,72371,4.23239707579838,37613.9174311927,17.6,19.3,19.1972619788426,44.0398381574852,9.15032679738562,2.87676317743133,43.1372549019608,41.6097190584662,61.0015174506829,11.3808801213961,5.38694992412747,38.5844748858447,7.69230769230769,20.0732600732601,72.1611721611722,7.2,7.6,11.6561437591064,5.88878096163186,41.1000485672657,21.9766877124818,15.9664885866926
"34",0.00529200529200529,0.00163800163800164,0.00270900270900271,0.000756000756000756,0.000441000441000441,0,0.0108360108360108,15873,4.8,3306.875,12.192118226601,111730,3.7482646922721,63954.15,6.7,6.9,4.77335164835165,22.9395604395604,2.36950549450549,0.855754090504553,21.3598901098901,24.2843951985226,97.0479704797048,2.76497695852535,5.44783010156971,22.4376731301939,7.71618625277162,15.4767184035477,76.8070953436807,6.4,6.1,12.1905121905122,6.42600642600643,25.042525042525,17.0730170730171,25.6410256410256
"35",0.00285453299840146,0.000951510999467154,0.000761208799573723,0.000228362639872117,0.000228362639872117,0.000190302199893431,0.00521428027708,26274,3.7,7101.08108108108,11.4182692307692,169203,3.54549337889791,62727,7.3,8.3,6.9798213695005,21.0456651224355,3.14361350099272,1.15290862375651,16.9424222369292,30.461270670148,89.304347826087,3.65535248041775,6.79442508710801,22.9293809938971,7.70171149144254,14.7921760391198,77.5061124694377,7.5,8.5,12.7692776128492,6.67960721625942,16.6704727106645,10.7901347339575,17.0701073304407
"36",0.00432210146447904,0.000755318702530318,0.00184633460618522,0.000545507951827452,8.39243002811464e-05,0.000293735050984012,0.00784692207628719,23831,4.7,5070.42553191489,13.2675438596491,125564,3.84012539184953,58199.18,6.9,7.4,5.0165214779213,20.2824519230769,2.13341346153846,1.09935821250297,17.6435226931169,27.972027972028,92.8571428571429,3.95962732919255,5.66770186335404,22.0233463035019,8.41750841750842,17.583239805462,73.924429479985,6.9,7.7,13.9524149217406,7.25945197431916,20.7293021694432,14.1412445973732,18.5053082119928
"37",0.00301133679735475,0.000531412376003779,0.00188946622579121,0.000295229097779877,0.000177137458667926,0.000354274917335853,0.0062588568729334,16936,2.9,5840,17.4402250351617,45737,5.86915887850467,34610.8462897526,15.6,15.3,10.9930255728994,32.1155762205247,3.32115576220525,3.21357413715534,28.3294586516108,55.8249158249158,64.2424242424242,6.3257065948856,6.46029609690444,42.2687373396354,17.4661296228488,20.322226290736,62.175027462468,6.4,6.3,13.1376948512045,6.61313179026925,43.9005668398677,26.2753897024091,8.62068965517241
"38",0.00290769611482306,0.00111358574610245,0.00241276911655531,0.000247463499133878,0.000247463499133878,0.000494926998267755,0.00742390497401633,16164,5.4,2993.33333333333,22.0779220779221,47384,6.37920850561134,34357.1061452514,17.6,17.5,8.5444610034774,34.2445328031809,3.72763419483101,5.55335184450615,22.8897715988083,53.4232365145228,84.3035343035343,9.35550935550936,9.44963655244029,35.3798126951093,15.1202749140893,26.8041237113402,57.9610538373425,7.1,7.2,13.0536995793121,6.46498391487256,29.2006928977976,16.5800544419698,6.37218510269735
