"Hood_ID","Assault","Auto Theft","Break and Enter","Robbery","Theft Over","Drug.Arrests","Total.crime","male.youth","youth","male.above.15","female.above.15","population.2016","lone.parent.families","lone.parent.families.perc","low.income","middle.income","colSums(a[, -1])","avg.income","people.ei","people.ei.per","median.income","no.hholds.bottom.20per","hholds.bottom.20per.per","low.income.pop","low.income.pop.18.to.64","low.income.pop.perc","low.income.pop.perc.18.to.64","non.citizens","non.citizens.perc","immigrants","immigrants.perc","immigrants.recent","immigrants.recent.perc","refugees","refugees.perc","vis.minorities","vis.minorities.perc","renters","renters.perc","houses","houses.perc","unsuitable.housing","unsuitable.housing.perc","hhlds.mjr.rprs","hhlds.mjr.rprs.perc","unaffordable.housing","unaffordale.housing.perc","less.than.high.school","less.than.high.school.perc","high.school.cert","high.school.cert.perc","post.sec.or.above","post.sec.or.above.perc","unemployed","unemployment.rate","unemployed.males","unemployment.rate.males"
"98",140,13,80,21,9,26,289,1025,2190,8345,9970,20923,605,0.109601449275362,6245,4840,6230,207903,480,0.0277697425513451,61994.4813829787,2700,0.13,2110,1485,10.2,11.9,1920,0.0931360659713801,5495,0.26661814653081,750,0.0363901018922853,240,0.0114706304067294,3740,0.181465308102863,4485,0.446046742913973,7000,0.696517412935323,480,0.0477374440576827,550,0.054726368159204,3075,0.307192807192807,1045,0.0580555555555556,2870,0.159444444444444,14090,0.782777777777778,695,6,315,5.4
"99",22,8,14,2,2,6,54,825,1700,6275,7505,16775,615,0.136818687430478,5435,3780,3975,85340,680,0.0515933232169954,52150.9476744186,2265,0.14,1730,1080,10.3,10,1440,0.0859701492537313,4510,0.26909307875895,635,0.0378878281622912,325,0.0193740685543964,3825,0.228221957040573,3230,0.434431741761937,6980,0.938802958977808,395,0.0531271015467384,410,0.0551445864156019,2185,0.294276094276094,1015,0.0736574746008708,2280,0.165457184325109,10475,0.760159651669086,670,6.9,345,7.3
"100",22,3,20,7,3,35,90,600,1225,4630,5375,11817,425,0.138662316476346,4100,3025,2460,89330,435,0.0455259026687598,48877.3173076923,1845,0.16,1420,1070,12,13.2,1380,0.116899618805591,3180,0.269377382465057,600,0.0508259212198221,195,0.0165016501650165,3155,0.267259635747565,3480,0.613756613756614,5020,0.883802816901408,345,0.0607394366197183,325,0.0572687224669604,1925,0.339506172839506,575,0.0575,1430,0.143,7990,0.799,505,6.9,195,5.5
"101",10,7,21,2,4,12,56,670,1360,4255,5145,10732,305,0.108928571428571,3535,2550,2920,204521,270,0.0298177802319161,55247.4090909091,1535,0.14,1140,745,10.7,11.2,995,0.0939122227465786,2755,0.25978312116926,465,0.0438472418670438,135,0.0125792023853895,1775,0.167452830188679,2320,0.468686868686869,4035,0.816801619433198,170,0.0343781597573306,320,0.0647118301314459,1650,0.333333333333333,690,0.0742734122712594,1605,0.172766415500538,6990,0.752421959095802,340,5.6,175,5.7
"102",35,3,19,8,4,2,71,750,1510,4690,6060,12806,575,0.174506828528073,5320,2775,2105,85099,425,0.0415647921760391,37671.1904761905,2705,0.21,1960,1265,15.5,15.5,2015,0.159099881563364,4975,0.392504930966469,1140,0.0899408284023669,505,0.0394346400124941,3570,0.281767955801105,3590,0.659320477502296,4995,0.91651376146789,775,0.142332415059688,365,0.0670339761248852,1945,0.357208448117539,880,0.0829406220546654,2190,0.206409048067861,7545,0.711121583411876,560,7.4,260,7.3
"103",15,16,36,2,2,6,77,1035,2100,5710,6590,15179,475,0.114182692307692,4380,2835,4485,169203,415,0.0354549337889791,62727,1430,0.09,1100,785,7.3,8.3,1055,0.069798213695005,3180,0.210456651224355,475,0.0314361350099272,175,0.0115290862375651,2560,0.169424222369292,1750,0.30461270670148,5135,0.89304347826087,210,0.0365535248041775,390,0.0679442508710801,1315,0.229293809938971,945,0.0770171149144254,1815,0.147921760391198,9510,0.775061124694376,625,7.5,360,8.5
"104",113,5,39,13,4,10,184,1155,2515,12100,15120,29658,1130,0.167531504818384,12225,9195,4135,57039,1335,0.052168815943728,42306.6586638831,7395,0.26,6025,4355,20.8,19.6,5175,0.178910976663786,11295,0.390425164189423,2580,0.0891807811959903,1055,0.0355721896284308,9730,0.336445366528354,13070,0.746643816052556,12490,0.713714285714286,1695,0.0969402344867029,830,0.0474556889651229,7290,0.417406241053536,1500,0.0564865373752589,4475,0.168518169836189,20575,0.774807004330635,1330,6.7,650,6.8
"105",24,12,33,4,3,1,77,845,1655,5320,5985,14607,495,0.12192118226601,3975,2710,4070,111730,405,0.037482646922721,63954.15,1255,0.09,980,610,6.7,6.9,695,0.0477335164835165,3340,0.229395604395604,345,0.0236950549450549,125,0.00855754090504553,3110,0.213598901098901,1315,0.242843951985226,5260,0.970479704797048,150,0.0276497695852535,295,0.0544783010156971,1215,0.224376731301939,870,0.0771618625277162,1745,0.154767184035477,8660,0.768070953436807,505,6.4,245,6.1
"106",31,18,20,3,3,4,79,740,1610,5470,6695,14365,615,0.170596393897365,6355,3190,2110,65274,605,0.0518423307626392,35639.9318181818,3165,0.22,2235,1590,15.7,16.1,1770,0.1243851018974,4660,0.327707454289733,775,0.0545007032348805,325,0.0226244343891403,4095,0.287873462214411,4240,0.645357686453577,6450,0.982482863670982,655,0.0996955859969559,630,0.095963442498096,2340,0.357251908396947,1125,0.0932062966031483,2225,0.184341342170671,8720,0.722452361226181,630,7.1,300,7.2
"107",90,19,23,10,1,30,173,1120,2265,8445,9585,21210,1430,0.251318101933216,11045,4575,1480,39803,1180,0.0689051094890511,27973.1802973978,5660,0.27,3905,2320,18.6,16.9,3365,0.16050560457906,9965,0.475542829873539,1455,0.0694345025053686,1030,0.0485619990570486,9045,0.431536259541985,4085,0.470080552359033,8600,0.989643268124281,1080,0.124280782508631,895,0.103051237766264,3190,0.367511520737327,4450,0.249509391645641,4175,0.234090271937202,9205,0.516119988786095,800,6.8,405,6.9
"108",104,22,34,33,5,20,218,820,1670,5645,6735,14257,920,0.235595390524968,7895,3220,670,34768,875,0.0741211351122406,27474.6219211823,3505,0.25,2410,1585,17,16.1,2735,0.19247009148487,8555,0.602040816326531,1425,0.100281491907108,990,0.0694395735428211,6500,0.457585357268567,2900,0.505226480836237,4775,0.832606800348736,975,0.170157068062827,435,0.0757839721254355,1960,0.34235807860262,2545,0.205989477944152,3080,0.24929178470255,6730,0.544718737353298,725,8.7,345,8.6
"109",31,7,9,6,1,15,69,665,1225,4185,4300,9955,610,0.216696269982238,5235,2400,380,35112,670,0.0833851897946484,28519.7471910112,2130,0.21,1405,900,14.2,13.2,1805,0.182139253279516,5285,0.53356890459364,685,0.0691569914184755,445,0.0447011551983928,3585,0.361938414941949,1300,0.353260869565217,3655,0.99320652173913,500,0.135869565217391,285,0.077445652173913,1100,0.299319727891156,2925,0.347387173396675,2175,0.258313539192399,3320,0.394299287410926,400,7.2,170,6
"110",39,8,8,11,0,9,75,740,1445,4530,4910,11058,715,0.234426229508197,6120,2390,390,33316,775,0.0870786516853933,25986.6624203822,2935,0.27,2015,1140,18.3,15.7,2095,0.189850475758949,6185,0.559981892258941,700,0.06337709370756,600,0.0542593597395551,4700,0.425531914893617,1610,0.385167464114833,3790,0.905615292712067,555,0.132616487455197,285,0.0681003584229391,1510,0.361244019138756,3640,0.386206896551724,2675,0.283819628647215,3115,0.330503978779841,485,8.6,260,8.7
"111",123,28,32,41,3,37,264,1405,2750,8980,9810,22246,1735,0.288205980066445,12000,5015,775,34059,1460,0.0821147356580427,26582.9715302491,6770,0.3,5060,2895,22.8,20.3,2705,0.1216550483472,11020,0.495392222971454,1040,0.0467520791189031,1825,0.0820372201744134,10225,0.459860580166404,3920,0.433149171270718,7845,0.866372170071784,1305,0.144119271120928,905,0.0999447818884594,3185,0.352323008849558,5695,0.303976514544969,5470,0.29196690685882,7580,0.404590338937817,1030,9.2,495,8.6
"112",54,9,17,21,3,21,125,425,855,2545,2895,6577,695,0.397142857142857,3490,1265,190,33829,415,0.0844354018311292,25551.7703488372,2325,0.36,1785,1055,28,25.4,975,0.153061224489796,3425,0.538098978790259,360,0.0565593087195601,525,0.079823627793827,3760,0.590266875981162,1755,0.662264150943396,2520,0.950943396226415,510,0.192452830188679,235,0.0886792452830189,945,0.357277882797732,1605,0.305423406279734,1515,0.288296860133206,2135,0.40627973358706,355,11.4,135,9
"113",147,37,34,25,3,56,302,1105,2220,6940,7955,17992,1640,0.360043907793633,9565,3615,690,32997,1115,0.0803603603603604,25542.1709006928,6660,0.38,5240,3155,29.6,26.7,3005,0.169869983041266,8690,0.49109918055948,1465,0.0827917490816615,1965,0.109215206758559,10755,0.608142493638677,4795,0.630921052631579,6690,0.880842659644503,1470,0.193293885601578,730,0.0961158657011192,3250,0.427631578947368,3630,0.248545018829168,4180,0.286203355015406,6800,0.46559397466621,965,10.6,475,10.3
"114",14,1,7,2,1,5,30,470,900,2880,3390,7985,515,0.230425055928412,2945,1570,1440,76629,325,0.0548060708263069,40783.0542168675,1735,0.22,1475,830,18.5,16.8,550,0.0688791484032561,2410,0.302005012531328,245,0.0307017543859649,365,0.0457107075767063,1950,0.244207889793363,1280,0.4096,3085,0.988782051282051,225,0.072,310,0.0995184590690209,725,0.232,855,0.136038186157518,1215,0.193317422434368,4210,0.669848846459825,320,7.6,130,6.2
"115",89,19,32,25,0,20,185,880,1815,5225,6000,13593,1340,0.370165745856354,7275,2685,310,30827,905,0.0880778588807786,25332.8,4535,0.34,3355,2030,25.3,22.8,1885,0.142156862745098,7430,0.560120618168112,905,0.0682246513381078,1395,0.10262635179872,9005,0.679110105580694,2740,0.528957528957529,3910,0.755555555555556,1045,0.201737451737452,575,0.111111111111111,2125,0.411025145067698,2810,0.258628624022089,3385,0.31155085135757,4665,0.429360331339162,745,10.8,330,9.7
"116",35,27,51,13,3,7,136,1395,2685,10140,11340,24623,1350,0.1875,14670,4305,1085,31786,1110,0.0551142005958292,20877.7091222031,8000,0.33,5105,2885,21,19.2,4970,0.204779563246807,17440,0.718730682052339,1810,0.0745930352359365,2025,0.0822401819437112,22075,0.909746548526685,1260,0.161125319693095,4945,0.633568225496477,950,0.121405750798722,330,0.0421994884910486,2915,0.373239436619718,4975,0.235502958579882,6235,0.295147928994083,9920,0.469585798816568,1045,9.5,480,8.4
"117",144,26,51,35,5,15,276,2950,5730,17515,20340,43993,2855,0.230520791279774,25505,8070,1765,31826,2280,0.0644158779488628,22442.1520737327,13935,0.32,10220,5965,23.5,21.8,8525,0.195954487989886,28325,0.651224278652719,3965,0.0911599034371767,4385,0.0996749482872275,33540,0.771034482758621,5205,0.345962113659023,10205,0.679427430093209,2040,0.135683405387429,1195,0.0794812105088128,5700,0.37962037962038,8055,0.215431933672105,10555,0.282294731211554,18765,0.501872158331105,2300,10.9,1085,10.1
"118",81,18,57,10,6,7,179,1690,3215,10775,12790,27446,1625,0.210492227979275,15210,5415,1295,34200,1225,0.0558340929808569,24474.027027027,8565,0.32,6425,3590,23.8,21.7,5075,0.187754347021828,16725,0.618871415356152,2435,0.0901017576318224,2010,0.0732347154412301,20325,0.751942286348502,4390,0.436164927968207,7410,0.736580516898608,1545,0.153578528827038,535,0.0531544957774466,3820,0.380099502487562,4460,0.192614985964155,6350,0.274238825307709,12325,0.532282444396459,1175,9.1,635,9.4
"119",211,47,80,21,11,10,380,1935,3640,11425,12295,27917,1775,0.234633179114342,14655,6275,1165,35047,1415,0.0639259091935848,27239.4445224719,7175,0.26,5285,3235,19.2,18,3580,0.12994555353902,13905,0.504901960784314,1970,0.0715323166303558,2130,0.0762975964466096,15285,0.554910147032129,4015,0.39732805541811,9605,0.950519544779812,1260,0.124690747154874,750,0.074220682830282,3325,0.329207920792079,4395,0.188343689736447,7240,0.310263552603385,11710,0.50182129847868,1285,9,630,8.4
"120",191,25,84,25,16,46,387,1860,3475,10790,11600,26984,1615,0.219727891156463,13040,6085,1350,36232,1595,0.0778238594779214,27934.5298507463,6880,0.26,5135,3155,19.5,18,3285,0.12488120129253,13115,0.498669201520913,1820,0.0692015209125475,1630,0.0604061666172547,16110,0.612664004563605,3180,0.343783783783784,8200,0.887445887445887,1255,0.135675675675676,615,0.06645056726094,3175,0.343614718614719,4215,0.193837663830766,6165,0.283513451368131,11360,0.522418946884341,1240,8.7,595,8.3
"121",125,10,57,27,11,23,253,880,1680,5325,5635,13845,850,0.251851851851852,7825,1930,260,26793,645,0.0641153081510934,19495.5167844523,7045,0.52,5795,3455,42.6,39.5,2625,0.19287288758266,7520,0.552941176470588,1760,0.129411764705882,1565,0.11303719754424,10250,0.753122703894195,3595,0.680227057710501,4880,0.923368022705771,1310,0.248106060606061,670,0.126773888363292,2290,0.433712121212121,2270,0.211064621106462,3020,0.280799628079963,5470,0.508600650860065,900,14.6,465,14.1
"122",168,14,73,18,6,22,301,1235,2425,9075,9915,22291,1265,0.20840197693575,9425,5485,2680,54360,1090,0.0620905724864711,36304.3548387097,4270,0.2,3150,2110,14.5,14.8,1335,0.0615774907749077,6080,0.280313508529276,485,0.0223605348086676,660,0.0296083621192409,5740,0.264577091495736,3055,0.332065217391304,8785,0.954891304347826,570,0.0619565217391304,825,0.0896252036936448,2720,0.295652173913043,2930,0.159629528738763,5245,0.285753200762735,10170,0.554072459820212,1055,8.8,540,8.9
"123",92,7,60,17,3,18,197,1125,2135,6435,6905,15935,885,0.200680272108844,7400,3615,1490,44718,775,0.0620248099239696,30594.2028688525,3640,0.23,2825,1545,17.9,15.5,1220,0.0772396327951883,5835,0.369303797468354,600,0.0379746835443038,725,0.0454973329149671,6570,0.415691236950332,1955,0.331075359864522,5760,0.974619289340102,495,0.083756345177665,435,0.073728813559322,1720,0.291278577476715,2165,0.163396226415094,3925,0.29622641509434,7160,0.540377358490566,795,9.7,410,9.5
