Neighbourhood,Neighbourhood Id,Combined Indicators,Pop - Males,Youth 15-24,Pop 15 - 64 years,Visible Minority Category,   Unemployed,   In Labour Force,With Bachelor Degree or Higher,Average Family Income,Low Income Population,Lone Parent Families,Early Development Instrument (EDI),Social Housing Units,Healthy Food Index
South Riverdale,70,N/A,13920,2445,20580,11390,1060,14790,940,83795,5440,1270,7.56302521,1479,45.86487073
Cabbagetown-South St.James Town,71,N/A,6565,1035,8620,3080,565,7725,435,103558,1880,370,13.33333333,860,43.71332101
Regent Park,72,N/A,5535,1775,8440,7005,640,4090,315,51758,5150,710,10.84337349,2120,42.52451212
Moss Park,73,N/A,11645,2060,17075,5670,805,9340,560,87222,5120,680,19.17808219,3399,42.75599265
North St.James Town,74,N/A,9880,2265,14585,11480,1115,10055,865,49005,5860,870,16.15384615,1704,34.02553867
Church-Yonge Corridor,75,N/A,17125,5060,27080,10455,1630,19420,1250,77996,5160,720,11.32075472,3324,33.49513312
Bay Street Corridor,76,N/A,12190,6860,21685,10555,1120,11840,885,90324,12820,820,19.44444444,754,24.82586223
Waterfront Communities-The Island,77,N/A,33295,7840,57635,17445,1675,33045,2060,95004,6990,1410,17.81609195,2644,31.61228116
Kensington-Chinatown,78,N/A,8760,3350,13920,11170,1070,10560,705,64945,6070,860,25.92592593,2064,37.56946045
University,79,N/A,3785,1485,5730,2265,480,4165,260,92815,1530,170,20,326,42.62130456
Palmerston-Little Italy,80,N/A,6680,1465,10600,3125,760,9320,305,94190,1810,420,10.98901099,169,45.80916628
Trinity-Bellwoods,81,N/A,8185,1630,12455,5045,810,9960,455,77477,3220,600,10,250,35.45291803
Niagara,82,N/A,15410,2415,27625,6255,815,16345,690,88996,2580,670,13.58024691,939,34.93832569
Dufferin Grove,83,N/A,5820,1065,8990,3615,490,7140,465,66895,2140,440,18.51851852,166,40.06850919
Little Portugal,84,N/A,7640,1605,12305,3030,405,7240,335,74372,2030,560,10.86956522,529,37.58332707
South Parkdale,85,N/A,10950,2275,17190,9700,1495,11555,750,54454,5660,970,17.5257732,1600,26.84485443
Roncesvalles,86,N/A,7445,1305,10990,3865,565,8815,550,86526,2640,550,6.040268456,511,44.8467742
High Park-Swansea,87,N/A,11170,2125,16570,3435,870,12930,830,116465,2290,770,5.911330049,300,46.52535058
High Park North,88,N/A,10410,1890,16120,4805,1040,13405,885,89737,2940,770,7.103825137,788,40.2363337
Runnymede-Bloor West Village,89,N/A,4785,960,6780,1790,380,5520,290,114798,720,320,4.385964912,4,45.63957129
Junction Area,90,N/A,7020,1465,10670,4010,695,8700,505,78000,2190,650,7.627118644,84,44.08870531
Weston-Pellam Park,91,N/A,5585,1415,8100,10380,795,6480,175,66933,2810,790,20.49180328,734,52.5738666
Corso Italia-Davenport,92,N/A,6965,1545,10215,3880,750,7450,440,74367,2120,720,14.7826087,59,37.93730645
Dovercourt-Wallace Emerson-Juncti,93,N/A,18075,3925,27635,11815,1620,20530,1040,70893,6400,1580,19.29824561,1132,35.06452856
Wychwood,94,N/A,6640,1320,9345,3640,550,7250,445,90496,1940,600,7,1229,40.49439352
Annex,95,N/A,14365,3750,22260,6010,1315,18085,1125,141111,4260,730,5.050505051,1436,38.84878443
Casa Loma,96,N/A,5090,1080,7095,1795,390,6530,560,188924,950,280,8.695652174,97,32.33425341
Yonge-St.Clair,97,N/A,5615,920,8405,1675,530,7535,435,173751,980,320,8.333333333,0,32.64775498
Rosedale-Moore Park,98,N/A,9655,2185,13160,2955,660,11125,860,249884,1650,480,9.836065574,520,32.20252037
Mount Pleasant East,99,N/A,7790,1705,11345,2495,620,9730,670,133977,1210,480,10.22727273,291,50.40464471
Yonge-Eglinton,100,N/A,5520,1225,8410,1940,370,6515,350,140907,1100,310,2.325581395,0,31.95239964
Forest Hill South,101,N/A,4890,1355,7110,1320,420,6035,415,251035,860,210,13.04347826,174,18.49485749
Forest Hill North,102,N/A,5780,1500,8625,3080,630,7285,680,137887,1770,460,11.11111111,311,29.11023751
Lawrence Park South,103,N/A,7190,2095,10095,1900,700,8510,520,216754,930,350,6.153846154,113,37.53120334
Mount Pleasant West,104,N/A,13345,2520,22680,8890,1445,19530,1515,89797,4740,990,10.15625,1383,41.60419442
Lawrence Park North,105,N/A,7055,1670,9390,2270,455,7965,390,165131,980,420,7.567567568,113,52.03381227
Humewood-Cedarvale,106,N/A,6615,1610,10260,4050,590,8775,620,105770,1820,510,12.24489796,480,32.85052709
Oakwood Village,107,N/A,10090,2275,14385,9105,950,11425,815,67809,3930,1240,15.05376344,825,41.06922203
Briar Hill-Belgravia,108,N/A,6625,1655,10305,6490,645,8230,805,67358,2870,830,11.30434783,316,34.22843377
Caledonia-Fairbank,109,N/A,4920,1220,7140,3685,515,5300,250,66257,1720,560,11.71171171,7,53.477392
Keelesdale-Eglinton West,110,N/A,5350,1430,7660,4850,605,5605,270,64857,1970,580,19.62616822,351,34.47612977
Rockcliffe-Smythe,111,N/A,10750,2740,15095,10275,1295,11250,805,64271,5160,1530,15.85365854,1092,31.86712201
Beechborough-Greenbrook,112,N/A,3100,855,4490,3475,360,3150,150,58706,1920,610,19.11764706,824,25.57320898
Weston,113,N/A,8545,2225,12440,4965,955,9585,545,61470,5050,1490,15.09433962,1036,41.44993692
Lambton Baby Point,114,N/A,3750,905,5260,1720,215,4210,230,122277,1390,450,14.1509434,668,27.28336142
Mount Dennis,115,N/A,6425,1815,9505,8270,920,6780,305,57386,3770,1200,21.15384615,1145,29.91029804
Steeles,116,N/A,11730,2685,15715,22050,1355,12115,1495,67732,7570,1090,10.57268722,0,11.36363636
L'Amoreaux,117,N/A,20600,5730,28875,34310,2315,21770,2550,64493,12450,2230,12.06896552,1776,30.72683907
Tam O'Shanter-Sullivan,118,N/A,12755,3225,17400,19640,1240,12580,1425,64630,6570,1270,12.93103448,607,41.36856195
Wexford/Maryvale,119,N/A,13575,3650,18985,12805,1400,13915,1230,69418,5500,1470,12.04819277,736,42.08486781
Clairlea-Birchmount,120,N/A,13135,3495,18800,13390,1255,12970,950,69549,5650,1300,10.90225564,422,30.7954607
Oakridge,121,N/A,6740,1680,9320,9125,1040,6040,490,50793,5890,780,11.9760479,1486,35.42600044
Birchcliffe-Cliffside,122,N/A,10730,2440,15045,4430,1295,12215,760,90256,3050,1120,13.5678392,370,32.73525484
Cliffcrest,123,N/A,7740,2145,10665,5545,720,7905,910,83694,2660,760,18.24817518,510,25.54522156
Kennedy Park,124,N/A,8325,2175,11800,11185,935,7855,575,58513,4810,1100,7.843137255,1360,34.95907143
Ionview,125,N/A,6470,1645,9430,9115,885,6645,660,57069,3350,850,8.724832215,348,47.14105339
Dorset Park,126,N/A,11715,3155,16970,17820,1375,12095,1245,60973,6590,1330,16.81034483,468,32.26843384
Bendale,127,N/A,14405,4605,20170,18235,1430,13605,1520,65560,6870,1310,16.58986175,504,29.11670669
Agincourt South-Malvern West,128,N/A,11605,3360,16585,17785,1175,11030,1150,68465,6400,1030,17.82178218,250,35.26288367
Agincourt North,129,N/A,13910,3705,19230,27015,1685,14920,1805,67622,8250,1370,12.33480176,247,38.09437229
Milliken,130,N/A,12850,3195,17765,25355,1445,13560,1550,66372,8330,1180,11.41732283,156,25.25084651
Rouge,131,N/A,22475,6700,31915,36175,2475,25100,2495,86997,7770,2120,13.43873518,332,21.95409103
Malvern,132,N/A,21015,6620,30015,39340,2905,22320,2115,64497,11490,2700,11.06290672,1014,38.63126639
Centennial Scarborough,133,N/A,6490,1850,8825,4950,585,7455,685,102278,1330,510,10.37735849,126,9.353233831
Highland Creek,134,N/A,6200,1925,8550,9185,645,7350,1025,98857,2120,480,14.81481481,0,0.628930818
Morningside,135,N/A,8465,2690,11890,12535,1110,8715,680,66024,4580,1060,11.35135135,523,6.666666667
West Hill,136,N/A,13070,3950,18515,15835,1675,12440,1100,65871,7640,2100,19.36619718,2052,28.0550994
Woburn,137,N/A,25955,7660,35835,38715,3310,24980,2555,63186,15430,2860,15.18987342,2594,27.73058349
Eglinton East,138,N/A,10650,3130,15090,16160,1490,10505,930,57357,6290,1710,20.30651341,885,34.78626589
Scarborough Village,139,N/A,7965,2360,11130,11455,1035,7405,735,61631,5500,1120,19.5,788,35.4800711
Guildwood,140,N/A,4625,1065,5980,2370,325,4975,390,92858,790,460,10.71428571,48,15.56603774
