"Hood_ID","Assault","Auto.Theft","Break.and.Enter","Robbery","Theft.Over","population.2016","lone.parent.families.perc","avg.income","low.income.pop.perc","non.citizens.perc","immigrants.recent.perc","refugees.perc","vis.minorities.perc","renters.perc","houses.perc","less.than.high.school.perc","high.school.cert.perc","post.sec.or.above.perc","unemployment.rate","youth.perc"
"45",0.0176124120097687,0.00393621606091079,0.00689556098261744,0.00287315040942393,0.000689556098261744,34805,26.474,42516,20.6,13.852,8.033,8.418,54.924,60.255,88.589,14.33,26.514,59.138,9.2,13.461
"46",0.0102414970287015,0.00278164116828929,0.00480465292704514,0.00221266911113921,0.000821848526994563,15818,18.51,36346,17.5,20.595,8.352,4.678,64.252,24.275,79.329,17.115,25.4,57.485,10,13.118
"47",0.0192229492440206,0.00476877010092048,0.00839155668921666,0.00414032752948135,0.00121991793279361,27051,19.266,37379,23.5,24.422,14.115,8.465,70.923,48.896,71.5,11.001,22.925,66.03,9.6,12.051
"48",0.013464036848943,0.00442895948978387,0.00832644384079367,0.00366127317822133,0.000826739104759655,16934,18.87,40442,21.9,17.317,6.649,4.222,75.584,23.552,66.901,12.597,22.965,64.471,8.3,12.755
"49",0.0105671278698495,0.00410521514368253,0.00965485783792002,0.000836247529268664,0.000684202523947088,13154,18.182,47246,18.4,16.509,8.448,3.155,65.192,42.234,90.638,11.609,21.381,66.965,8,12.392
"50",0.0329253898241908,0.00683357147294527,0.0142883767161583,0.00521836367024912,0.00273342858917811,16097,16.432,45212,27.4,24.911,11.941,4.659,72.215,35.27,61.457,10.645,21.541,67.814,8.8,13.636
"51",0.0142760835944006,0.00277590514335567,0.00682079549510251,0.00295435618828568,0.00120950152674783,50434,17,45326,30.3,30.054,14.733,2.786,75.047,38.148,26.759,7.016,19.355,73.652,8.5,13.741
"52",0.0163581977939802,0.00359880351467564,0.00747803327724808,0.00149560665544962,0.00135539353150122,21396,16.804,52035,23.7,23.279,11.921,3.459,68.614,41.238,39.454,6.996,19.653,73.378,7.7,11.661
"53",0.0132290275392737,0.00273484703936908,0.00591490173630986,0.00101761750302105,0.000954016409082236,15723,18.607,36359,29.6,36.167,18.676,8.968,76.551,63.1,49.175,9.16,20.931,69.871,10.3,14.819
"54",0.0281659973226238,0.00224899598393574,0.00717536813922356,0.00364123159303882,0.00123159303882195,18675,24.675,43907,22.5,12.571,6.73,6.185,37.703,53.65,95.78,18.87,27.541,53.589,10.1,12.691
